AccelX_1,AccelY_1,AccelZ_1,GyroX_1,GyroY_1,GyroZ_1,AccelX_2,AccelY_2,AccelZ_2,GyroX_2,GyroY_2,GyroZ_2,AccelX_3,AccelY_3,AccelZ_3,GyroX_3,GyroY_3,GyroZ_3,AccelX_3,AccelY_3,AccelZ_3,GyroX_3,GyroY_3,GyroZ_3
-2.230000019,3.638000011,8.732699394,-0.0276,-0.0458,0.077500001,3.245100021,2.556900024,8.97069931,0.066299997,0.048999999,-0.0133,-3.003299952,9.073900223,-1.519799948,0.178499997,0.260299981,0.261000007,-3.003299952,9.073900223,-1.519799948,0.178499997,0.260299981,0.261000007
-2.217599869,3.641799927,8.731699944,0.0284,-0.080799997,0.0845,3.237499952,2.564599991,8.984099388,-0.0037,-0.021,-0.041299999,-3.00999999,9.067199707,-1.506399989,0.234499991,0.162299991,0.232999995,-3.00999999,9.067199707,-1.506399989,0.234499991,0.162299991,0.232999995
-2.225199938,3.634199858,8.735599518,-0.153599992,-0.0458,0.0495,3.228899956,2.562599897,8.976399422,-0.045699999,-0.021,-0.0133,-3.02339983,9.0625,-1.503600001,0.262499988,-0.061699998,0.289000005,-3.02339983,9.0625,-1.503600001,0.262499988,-0.061699998,0.289000005
-2.220499992,3.629400015,8.736499786,0.0004,-0.0038,0.119499996,3.243199825,2.553099871,8.984099388,0.0243,-0.077,0.014699999,-3.021699905,9.059100151,-1.513799906,0.416500002,-0.271699995,0.407999992,-3.021699905,9.059100151,-1.513799906,0.416500002,-0.271699995,0.407999992
-2.225199938,3.634199858,8.735599518,0.0284,0.052199997,0.133499995,3.24029994,2.556900024,8.991700172,-0.0037,0.035,-0.0973,-3.007400036,9.057899475,-1.518599987,0.346499979,-0.324200004,0.547999978,-3.007400036,9.057899475,-1.518599987,0.346499979,-0.324200004,0.547999978
-2.225199938,3.627499819,8.727000237,-0.111599997,0.0242,0.063500002,3.233700037,2.558799982,8.986999512,0.052299999,0.048999999,0.0427,-2.990599871,9.067500114,-1.520999908,0.311499983,-0.201700002,0.407999992,-2.990599871,9.067500114,-1.520999908,0.311499983,-0.201700002,0.407999992
-2.214699984,3.627499819,8.735599518,0.0004,0.010199999,0.0495,3.235599995,2.551199913,8.982199669,-0.0177,0.118999995,0.0287,-2.969799995,9.065299988,-1.529399991,0.136500001,-0.17369999,0.372999996,-2.969799995,9.065299988,-1.529399991,0.136500001,-0.17369999,0.372999996
-2.216599941,3.6322999,8.728899956,-0.013599999,0.0942,0.133499995,3.23939991,2.547399998,8.986999512,-0.073699996,0.035,-0.0973,-2.981299877,9.068200111,-1.526499987,0.136500001,0.0083,0.246999994,-2.981299877,9.068200111,-1.526499987,0.136500001,0.0083,0.246999994
-2.217599869,3.628399849,8.731699944,-0.111599997,0.052199997,0.133499995,3.230799913,2.552099943,8.994599342,0.0243,0.147,-0.0133,-2.979899883,9.060299873,-1.519799948,0.188999996,0.0083,0.163000003,-2.979899883,9.060299873,-1.519799948,0.188999996,0.0083,0.163000003
-2.216599941,3.639899969,8.736499786,-0.0276,0.206199989,0.077500001,3.238399982,2.551199913,8.983099937,0.122299999,0.048999999,-0.069299996,-2.997799873,9.067500114,-1.517399907,0.24149999,-0.096699998,0.163000003,-2.997799873,9.067500114,-1.517399907,0.24149999,-0.096699998,0.163000003
-2.227099895,3.6322999,8.73939991,-0.0416,0.164199993,0.0495,3.235599995,2.553099871,8.986000061,0.066299997,0.021,-0.0133,-2.997799873,9.056699753,-1.522199988,0.171499997,-0.236699998,0.145499989,-2.997799873,9.056699753,-1.522199988,0.171499997,-0.236699998,0.145499989
-2.223599911,3.626299858,8.743700027,0.045899998,0.216699988,0.0495,3.235599995,2.543499947,8.98029995,-0.0317,-0.021,0.0427,-2.977499962,9.061499596,-1.519799948,0.262499988,-0.229699999,0.037,-2.977499962,9.061499596,-1.519799948,0.262499988,-0.229699999,0.037
-2.231899977,3.626299858,8.738900185,0.080899999,0.129199997,0.119499996,3.242300034,2.56069994,8.993599892,0.0243,-0.021,0.0007,-2.977499962,9.069199562,-1.52459991,0.206499994,-0.201700002,-0.005,-2.977499962,9.069199562,-1.52459991,0.206499994,-0.201700002,-0.005
-2.227099895,3.631099939,8.742499352,0.133399993,0.164199993,0.0495,3.237499952,2.554999828,8.9897995,0.0383,-0.021,-0.0133,-2.985899925,9.062699318,-1.52459991,0.276499987,-0.149199992,0.023,-2.985899925,9.062699318,-1.52459991,0.276499987,-0.149199992,0.023
-2.233099937,3.627499819,8.737699509,-0.0416,0.164199993,0.067000002,3.241299868,2.561699867,8.984999657,0.052299999,-0.048999999,-0.111299999,-2.98939991,9.063899994,-1.528199911,0.101499997,-0.096699998,-0.116999999,-2.98939991,9.063899994,-1.528199911,0.101499997,-0.096699998,-0.116999999
-2.235499859,3.634599924,8.729299545,0.045899998,-0.098299995,0.0145,3.237999916,2.558099985,8.991000175,0.153799996,-0.021,-0.048299998,-2.994699955,9.060599327,-1.522699952,0.108499996,-0.159699991,-0.060999997,-2.994699955,9.060599327,-1.522699952,0.108499996,-0.159699991,-0.060999997
-2.231899977,3.623899937,8.732899666,0.098399997,-0.343299985,-0.020499999,3.237999916,2.547399998,8.9897995,0.118799999,-0.0035,0.091699995,-3.000399828,9.066299438,-1.526499987,0.136500001,-0.159699991,-0.116999999,-3.000399828,9.066299438,-1.526499987,0.136500001,-0.159699991,-0.116999999
-2.220000029,3.638199806,8.737699509,0.0634,-0.325800002,-0.020499999,3.245100021,2.556900024,8.992199898,0.20629999,-0.0735,-0.0133,-2.996599913,9.065099716,-1.512599945,0.118999995,-0.289199978,-0.134499997,-2.996599913,9.065099716,-1.512599945,0.118999995,-0.289199978,-0.134499997
-2.22239995,3.623899937,8.727000237,-0.0416,-0.255799979,0.031999998,3.235599995,2.560499907,8.987400055,0.048799999,-0.090999998,-0.0133,-2.993000031,9.059100151,-1.514999986,0.136500001,-0.324200004,-0.186999992,-2.993000031,9.059100151,-1.514999986,0.136500001,-0.324200004,-0.186999992
-2.221199989,3.634599924,8.737699509,-0.0241,-0.080799997,0.0495,3.239199877,2.561699867,8.986199379,0.083799995,-0.021,0.109200001,-2.997799873,9.061499596,-1.512599945,0.048999999,-0.46419999,-0.134499997,-2.997799873,9.061499596,-1.512599945,0.048999999,-0.46419999,-0.134499997
-2.218799829,3.623899937,8.732899666,0.045899998,-0.0458,0.0495,3.235599995,2.553299904,8.9897995,0.118799999,-0.090999998,0.109200001,-2.99090004,9.0625,-1.522699952,-0.031500001,-0.355699986,-0.270999998,-2.99090004,9.0625,-1.522699952,-0.031500001,-0.355699986,-0.270999998
-2.217599869,3.625099897,8.731699944,-0.0416,0.0942,0.031999998,3.234400034,2.554499865,8.987400055,0.136299998,-0.090999998,-0.048299998,-2.99090004,9.059599876,-1.509299994,0.0105,-0.229699999,-0.326999992,-2.99090004,9.059599876,-1.509299994,0.0105,-0.229699999,-0.326999992
-2.218799829,3.633399963,8.735300064,0.0634,0.0942,-0.055499997,3.236799955,2.565299988,8.987400055,0.048799999,-0.160999998,0.056699999,-3.004999876,9.061499596,-1.511399984,0.136500001,-0.201700002,-0.256999999,-3.004999876,9.061499596,-1.511399984,0.136500001,-0.201700002,-0.256999999
-2.220000029,3.636999846,8.736499786,0.0284,0.164199993,-0.020499999,3.237999916,2.564100027,8.98029995,0.101300001,-0.055999998,0.021699999,-2.997799873,9.059100151,-1.505499959,0.171499997,-0.271699995,-0.291999996,-2.997799873,9.059100151,-1.505499959,0.171499997,-0.271699995,-0.291999996
-2.223599911,3.635799885,8.732899666,0.098399997,0.164199993,-0.020499999,3.243899822,2.565299988,8.99339962,-0.0037,-0.090999998,0.0392,-2.991799831,9.064399719,-1.511199951,0.136500001,-0.229699999,-0.243000001,-2.991799831,9.064399719,-1.511199951,0.136500001,-0.229699999,-0.243000001
-2.227099895,3.634599924,8.734099388,0.080899999,0.234200001,-0.020499999,3.248699903,2.559299946,8.987400055,-0.021199999,-0.0735,0.056699999,-2.994699955,9.067199707,-1.528399944,0.234499991,-0.313699991,-0.20099999,-2.994699955,9.067199707,-1.528399944,0.234499991,-0.313699991,-0.20099999
-2.216399908,3.635799885,8.727000237,0.0284,0.234200001,-0.020499999,3.24029994,2.565299988,8.98029995,0.118799999,0.014,-0.0133,-2.994199991,9.060299873,-1.52699995,0.136500001,-0.2192,-0.326999992,-2.994199991,9.060299873,-1.52699995,0.136500001,-0.2192,-0.326999992
-2.227099895,3.638199806,8.734099388,0.0284,0.164199993,0.0495,3.248699903,2.554499865,8.983799934,0.066299997,-0.021,0.056699999,-2.986999989,9.065099716,-1.519799948,0.206499994,-0.2192,-0.291999996,-2.986999989,9.065099716,-1.519799948,0.206499994,-0.2192,-0.291999996
-2.224799871,3.627499819,8.736499786,-0.094099998,0.111699998,-0.020499999,3.243899822,2.561699867,8.992199898,0.048799999,-0.021,-0.048299998,-2.98939991,9.060299873,-1.52459991,0.118999995,-0.184199989,-0.326999992,-2.98939991,9.060299873,-1.52459991,0.118999995,-0.184199989,-0.326999992
-2.234299898,3.6322999,8.734099388,-0.0416,0.181699991,0.0495,3.241499901,2.559299946,8.995800018,0.066299997,0.014,0.0042,-2.992799997,9.058599472,-1.516899943,0.136500001,-0.103699997,-0.424999982,-2.992799997,9.058599472,-1.516899943,0.136500001,-0.103699997,-0.424999982
-2.226199865,3.63319993,8.733699799,0.0284,0.234200001,-0.0065,3.248699903,2.561699867,8.992199898,0.0138,-0.021,0.091699995,-3.001399994,9.066299438,-1.515999913,0.066500001,-0.061699998,-0.480999976,-3.001399994,9.066299438,-1.515999913,0.066500001,-0.061699998,-0.480999976
-2.226199865,3.6322999,8.727000237,0.084399998,0.122199997,0.0495,3.237999916,2.555699825,8.992199898,-0.0037,0.031500001,0.0392,-3.010900021,9.066299438,-1.513799906,0.066500001,-0.096699998,-0.466999978,-3.010900021,9.066299438,-1.513799906,0.066500001,-0.096699998,-0.466999978
-2.221400023,3.628399849,8.732699394,0.098399997,0.122199997,-0.034499999,3.235599995,2.554499865,8.975500107,-0.056199998,0.101499997,0.056699999,-3.004999876,9.060299873,-1.510299921,0.101499997,-0.131699994,-0.466999978,-3.004999876,9.060299873,-1.510299921,0.101499997,-0.131699994,-0.466999978
-2.226199865,3.635099888,8.732699394,-0.013599999,0.178199992,-0.0065,3.243899822,2.552099943,8.992199898,-0.0037,0.014,0.056699999,-3.003799915,9.057899475,-1.505499959,0.066500001,-0.184199989,-0.466999978,-3.003799915,9.057899475,-1.505499959,0.066500001,-0.184199989,-0.466999978
